reward,config/num_envs,config/num_steps,config/num_minibatches,config/alpha,config/update_epochs,config/target_network_frequency,config/beta,config/policy_lr_start,config/q_lr_start,config/use_kl_loss,config/target_network,config/anneal_lr,config/saddle_point_optimization,config/policy_activation,config/num_hidden_layers,config/hidden_size,config/q_activation,config/q_hidden_size,config/q_num_hidden_layers,config/q_optimizer,config/actor_optimizer,config/eps
16.2860205968221,4,500,8,4,10,0,0.0885150122909431,0.0001053189658927,0.0001700926023089,False,False,False,True,Tanh,4,128,ReLU,64,2,SGD,Adam,1e-08
16.25690205891927,4,128,4,8,100,0,0.0070811743188819,0.0022374985258223,0.002355881927337,False,False,True,True,ReLU,4,128,Tanh,128,4,SGD,SGD,1e-08
15.944597562154135,4,256,4,12,100,0,0.0856899917958553,0.0304652542747277,0.0014563277062686,False,False,True,True,ReLU,4,128,Tanh,128,2,SGD,Adam,0.0001
15.69650904337565,4,500,4,12,50,0,0.0758870761758406,0.0001646346113673,0.0001054419375747,False,False,False,True,Sigmoid,2,64,Tanh,512,4,SGD,Adam,1e-08
15.677207946777344,4,256,8,8,50,0,0.0147848766484661,0.0001463840270857,0.0002132307585143,True,False,True,True,Sigmoid,2,512,Tanh,512,2,SGD,SGD,1e-08
15.239237785339355,4,500,4,8,50,0,0.0614220584656635,0.0020501262266401,0.002749668757253,False,False,True,True,Sigmoid,2,512,Tanh,128,4,SGD,Adam,0.0001
14.569611549377441,4,256,16,8,50,0,0.0452695984795458,0.0002350759117427,0.0001612943000392,True,False,False,True,Sigmoid,4,512,Tanh,128,2,Adam,SGD,0.0001
14.405892372131348,4,256,8,12,50,0,0.0767588631460871,0.0016860792740031,0.0031768552705421,False,False,True,True,Sigmoid,4,512,Tanh,128,4,Adam,Adam,0.0001
14.074318250020346,4,500,8,12,10,0,0.0359027520600283,0.0180515446719598,0.0005457876961359,False,False,False,True,Sigmoid,2,128,Tanh,128,4,SGD,SGD,1e-08
13.736947059631348,4,256,8,4,100,0,0.0225924655409153,0.000228260129078,0.0035639221728772,True,False,True,True,ReLU,4,512,Tanh,128,2,Adam,Adam,0.0001
13.586102803548178,4,500,4,12,50,0,0.0218634022820273,0.0888687853294195,0.0485682340312867,False,False,True,True,Sigmoid,2,64,Sigmoid,512,2,SGD,Adam,0.0001
13.429453214009603,4,128,4,12,100,0,0.0683289721462098,0.0793584345629564,0.002501126394103,False,False,False,True,ReLU,4,128,Tanh,128,4,SGD,Adam,1e-08
13.354210217793783,4,256,8,4,50,0,0.0002072462241716,0.0083322250046875,0.0002890004100495,True,False,True,True,Sigmoid,4,64,Sigmoid,128,4,SGD,SGD,1e-08
11.938583056131998,4,256,4,4,100,0,0.0895603571537071,0.0358067456609038,0.0005052941235083,False,False,True,True,Tanh,4,64,Tanh,128,2,Adam,Adam,1e-08
11.719696680704752,4,128,4,8,10,0,0.0149151891917546,0.0160228893647877,0.0001039490099862,False,False,True,True,ReLU,4,128,Sigmoid,512,2,Adam,SGD,1e-08
11.368264198303223,4,256,4,8,10,0,0.0072485676793904,0.049489598911945,0.0002233026675185,False,False,True,True,ReLU,2,512,Sigmoid,128,4,SGD,SGD,0.0001
10.8968137105306,4,256,4,12,50,0,0.0003629636762684,0.0002721461092996,0.0004136266526327,True,False,False,True,Tanh,2,128,Sigmoid,64,4,SGD,Adam,0.0001
10.527570406595867,4,500,4,8,10,0,0.0018595341807421,0.0004209904832988,0.0001884744090867,False,False,True,True,Sigmoid,4,128,Sigmoid,64,4,SGD,Adam,0.0001
10.090460141499838,4,128,16,12,50,0,0.0177138926020826,0.004000514491814,0.0004203398714227,True,False,True,True,Tanh,2,64,Tanh,512,4,Adam,Adam,1e-08
9.852423032124838,4,256,4,8,10,0,0.0706776218148352,0.0015446403554554,0.001792934963266,False,False,True,True,ReLU,2,512,Tanh,128,2,Adam,Adam,0.0001
9.776719729105631,4,256,4,8,100,0,0.0504615123828677,0.0001333722248966,0.0025467720765644,False,False,False,True,Sigmoid,4,512,Tanh,64,4,SGD,SGD,1e-08
9.542113304138184,4,128,16,12,50,0,0.004093966002162,0.0002069361417869,0.000118972440654,True,False,True,True,Sigmoid,4,512,Tanh,128,2,SGD,Adam,1e-08
9.431402524312338,4,128,8,8,50,0,0.0001324647605869,0.0190539118062331,0.000126557339099,False,False,False,True,Tanh,4,128,Tanh,64,2,Adam,Adam,0.0001
9.373790740966797,4,256,8,12,100,0,0.0028670532349194,0.0984070598870093,0.0001383924584767,False,False,True,True,Tanh,4,64,Sigmoid,64,2,SGD,SGD,0.0001
9.368237813313803,4,128,4,4,50,0,0.0014827312889008,0.0003047333823327,0.0001234913763603,False,False,False,True,Sigmoid,2,128,Sigmoid,128,2,Adam,Adam,0.0001
9.348936716715494,4,500,4,12,10,0,0.0001008492613363,0.0043526413021121,0.0001126083035285,False,False,True,True,Sigmoid,2,512,Sigmoid,512,4,Adam,SGD,0.0001
9.344134012858072,4,256,8,8,10,0,0.0001532865851378,0.0125558256912252,0.0001241581702177,False,False,False,True,Sigmoid,4,128,Tanh,128,2,Adam,Adam,0.0001
9.34170659383138,4,500,16,12,10,0,0.0001069892260624,0.0040770437277207,0.0001037363967351,False,False,False,True,Tanh,4,512,Sigmoid,512,4,Adam,SGD,0.0001
9.3415314356486,4,500,8,8,10,0,0.0379631694375697,0.0544618043880777,0.0001149589259708,True,False,True,True,Tanh,4,128,Tanh,128,2,Adam,Adam,1e-08
9.322268803914389,4,256,8,4,10,0,0.0047586636758781,0.0001036939986862,0.0008847357378829,False,False,True,True,Tanh,4,512,Tanh,128,2,Adam,SGD,1e-08
9.259613672892252,4,128,4,4,10,0,0.0057464944334143,0.0417666973836197,0.0002087160991878,True,False,False,True,Tanh,2,128,Tanh,128,4,Adam,SGD,1e-08
-2.223810513814291,4,256,8,8,100,0,0.0693183016229543,0.000332887548814,0.0030686235351598,False,False,False,True,Sigmoid,2,512,Tanh,128,4,Adam,Adam,0.0001
-5.149471282958984,4,256,8,4,100,0,0.0574680060516862,0.0006887461554933,0.0039015654122589,False,False,False,True,ReLU,4,512,ReLU,128,2,SGD,Adam,1e-08
-9.801928838094076,4,256,4,8,100,0,0.0875026822429568,0.0004716359688005,0.0059647286291672,False,False,True,True,Sigmoid,2,64,Tanh,128,2,Adam,Adam,0.0001
-10.7242431640625,4,256,8,4,100,0,0.0494333760166749,0.0012058594254994,0.0060162313937428,False,False,True,True,ReLU,4,512,Tanh,128,2,Adam,Adam,0.0001
-17.748602549235027,4,256,4,8,100,0,0.0290014545441092,0.0001830557485332,0.006427231743754,False,False,True,True,ReLU,4,512,Tanh,64,2,Adam,SGD,0.0001
-23.831018447875977,4,256,8,4,100,0,0.0451817181949307,0.0008840948606738,0.0043326112040022,False,False,True,True,Tanh,2,128,Tanh,128,2,Adam,Adam,0.0001
-23.92357063293457,4,256,16,8,10,0,0.0611343025725983,0.0002010629270539,0.0060009401572678,False,False,False,True,ReLU,4,512,Tanh,128,2,Adam,Adam,1e-08
-25.420985221862793,4,256,8,8,10,0,0.0022740157233614,0.0095689973032809,0.0043266110658877,True,False,False,True,Tanh,4,512,ReLU,128,4,SGD,SGD,0.0001
-25.866228103637695,4,128,8,12,100,0,0.0054612041984761,0.0002493824598092,0.0395890054535179,True,False,False,True,Sigmoid,4,128,Sigmoid,512,4,SGD,SGD,0.0001
-26.3512544631958,4,256,8,8,50,0,0.001155222744066,0.0001755561871705,0.0006188557620276,True,False,False,True,Sigmoid,2,64,ReLU,128,2,SGD,SGD,0.0001
-27.601388931274414,4,500,16,12,50,0,0.0959860018552869,0.0001001453342541,0.009139190387851,False,False,False,True,Sigmoid,4,128,Tanh,128,2,Adam,Adam,1e-08
-29.44395701090495,4,256,8,4,100,0,0.0773870213203772,0.0793584345629564,0.0021494319650388,False,False,False,True,ReLU,4,128,Tanh,128,2,SGD,Adam,0.0001
-56.791666666666664,4,128,16,8,100,0,0.0906918960657402,0.0002076060179373,0.0064079896405154,False,False,False,True,Sigmoid,2,128,Tanh,128,2,Adam,Adam,1e-08
