"Step","charts/episodic_return","LunarLander-v2__dqn__3__1712515488 - charts/episodic_return__MIN","LunarLander-v2__dqn__3__1712515488 - charts/episodic_return__MAX"
"67","7.0518951416015625","7.0518951416015625","7.0518951416015625"
"68","-199.0181427001953","-199.0181427001953","-199.0181427001953"
"69","-96.00398254394531","-96.00398254394531","-96.00398254394531"
"70","-251.92800903320312","-251.92800903320312","-251.92800903320312"
"71","-152.19175720214844","-152.19175720214844","-152.19175720214844"
"72","-128.57061767578125","-128.57061767578125","-128.57061767578125"
"73","-174.26016235351562","-174.26016235351562","-174.26016235351562"
"74","-206.30917358398438","-206.30917358398438","-206.30917358398438"
"75","-2.1396255493164062","-2.1396255493164062","-2.1396255493164062"
"76","-120.39472961425781","-120.39472961425781","-120.39472961425781"
"77","-71.26184844970703","-71.26184844970703","-71.26184844970703"
"78","-93.36285400390625","-93.36285400390625","-93.36285400390625"
"79","-469.10003662109375","-469.10003662109375","-469.10003662109375"
"80","-74.49246978759766","-74.49246978759766","-74.49246978759766"
"81","-190.33596801757812","-190.33596801757812","-190.33596801757812"
"82","-180.17092895507812","-180.17092895507812","-180.17092895507812"
"83","-390.3560791015625","-390.3560791015625","-390.3560791015625"
"84","-346.975830078125","-346.975830078125","-346.975830078125"
"85","-100.66254425048828","-100.66254425048828","-100.66254425048828"
"86","-339.0877685546875","-339.0877685546875","-339.0877685546875"
"87","-275.14154052734375","-275.14154052734375","-275.14154052734375"
"88","-322.8450927734375","-322.8450927734375","-322.8450927734375"
"89","-130.36085510253906","-130.36085510253906","-130.36085510253906"
"90","-268.043701171875","-268.043701171875","-268.043701171875"
"91","-118.83372497558594","-118.83372497558594","-118.83372497558594"
"92","-465.6204833984375","-465.6204833984375","-465.6204833984375"
"93","-87.23548889160156","-87.23548889160156","-87.23548889160156"
"94","-36.4749755859375","-36.4749755859375","-36.4749755859375"
"95","-104.16987609863281","-104.16987609863281","-104.16987609863281"
"96","-102.50492858886719","-102.50492858886719","-102.50492858886719"
"97","-221.28846740722656","-221.28846740722656","-221.28846740722656"
"98","-45.83256530761719","-45.83256530761719","-45.83256530761719"
"99","-153.59848022460938","-153.59848022460938","-153.59848022460938"
"100","-124.54061126708984","-124.54061126708984","-124.54061126708984"
