Alpha,Q Learning Rate,Policy Learning Rate,Update Epochs,Update Policy Epochs,Gamma,Num Envs,Reward
0.5,0.0025,0.1,450,300,0.99,5,45.4
0.5,0.0025,0.025,50,50,0.99,2,9.0
0.5,0.0025,0.025,50,50,0.99,5,12.4
0.5,0.0025,0.025,50,50,1.0,2,9.0
0.5,0.0025,0.025,50,50,1.0,5,15.2
0.5,0.0025,0.025,50,300,0.99,2,9.0
0.5,0.0025,0.025,50,300,0.99,5,19.2
0.5,0.0025,0.025,50,300,1.0,1,24.0
0.5,0.0025,0.025,50,300,1.0,2,24.6
0.5,0.0025,0.025,50,300,1.0,5,22.0
0.5,0.0025,0.025,50,450,0.99,1,172.8
0.5,0.0025,0.025,50,450,0.99,2,24.2
0.5,0.0025,0.025,50,450,0.99,5,9.0
0.5,0.0025,0.025,50,450,1.0,1,18.0
0.5,0.0025,0.025,50,450,1.0,2,16.8
0.5,0.0025,0.025,50,450,1.0,5,19.2
0.5,0.0025,0.025,300,50,0.99,5,35.0
0.5,0.0025,0.025,300,300,1.0,5,32.4
0.5,0.0025,0.025,300,450,0.99,2,43.0
0.5,0.0025,0.025,300,450,1.0,2,11.2
0.5,0.0025,0.025,450,50,1.0,5,39.2
0.5,0.0025,0.025,450,450,1.0,2,112.0
0.5,0.0025,0.0025,50,50,0.99,1,48.2
0.5,0.0025,0.0025,50,50,0.99,2,64.4
0.5,0.0025,0.0025,50,50,0.99,5,18.0
0.5,0.0025,0.0025,50,50,1.0,1,24.0
0.5,0.0025,0.0025,50,50,1.0,2,71.2
0.5,0.0025,0.0025,50,50,1.0,5,35.6
0.5,0.0025,0.0025,50,300,0.99,1,17.0
0.5,0.0025,0.0025,50,300,0.99,2,13.0
0.5,0.0025,0.0025,50,300,0.99,5,11.0
0.5,0.0025,0.0025,50,300,1.0,2,75.0
0.5,0.0025,0.0025,50,300,1.0,5,13.0
0.5,0.0025,0.0025,50,450,0.99,1,24.0
0.5,0.0025,0.0025,50,450,0.99,2,47.0
0.5,0.0025,0.0025,50,450,0.99,5,13.0
0.5,0.0025,0.0025,50,450,1.0,2,10.0
0.5,0.0025,0.0025,50,450,1.0,5,14.0
0.5,0.0025,0.0025,300,450,1.0,2,43.0
1.0,0.1,0.1,50,50,0.99,2,9.0
1.0,0.1,0.1,50,50,0.99,5,34.6
1.0,0.1,0.1,50,50,1.0,2,9.0
1.0,0.1,0.1,50,300,0.99,2,11.0
1.0,0.1,0.1,50,300,0.99,5,9.0
1.0,0.1,0.1,50,300,1.0,5,9.0
1.0,0.1,0.1,50,450,0.99,2,9.0
1.0,0.1,0.1,50,450,0.99,5,9.0
1.0,0.1,0.1,50,450,1.0,2,9.0
1.0,0.1,0.1,50,450,1.0,5,9.0
1.0,0.1,0.1,300,300,1.0,5,37.6
1.0,0.1,0.1,450,300,1.0,2,29.0
1.0,0.1,0.025,50,50,0.99,2,9.0
1.0,0.1,0.025,50,50,0.99,5,36.2
1.0,0.1,0.025,50,50,1.0,2,16.0
1.0,0.1,0.025,50,50,1.0,5,26.6
1.0,0.1,0.025,50,300,0.99,2,9.0
1.0,0.1,0.025,50,300,0.99,5,22.2
1.0,0.1,0.025,50,300,1.0,2,47.6
1.0,0.1,0.025,50,300,1.0,5,23.4
1.0,0.1,0.025,50,450,0.99,2,56.8
1.0,0.1,0.025,50,450,0.99,5,30.0
1.0,0.1,0.025,50,450,1.0,2,29.2
1.0,0.1,0.025,50,450,1.0,5,15.6
1.0,0.1,0.025,300,50,0.99,2,61.0
1.0,0.1,0.025,300,50,1.0,5,26.6
1.0,0.1,0.025,300,300,0.99,5,14.6
1.0,0.1,0.025,300,300,1.0,2,20.4
1.0,0.1,0.025,300,300,1.0,5,45.8
1.0,0.1,0.025,300,450,1.0,5,25.0
1.0,0.1,0.025,450,450,0.99,2,109.0
1.0,0.1,0.0025,50,50,0.99,2,132.2
1.0,0.1,0.0025,50,50,0.99,5,9.0
1.0,0.1,0.0025,50,50,1.0,1,61.6
1.0,0.1,0.0025,50,50,1.0,2,12.6
1.0,0.1,0.0025,50,50,1.0,5,14.0
1.0,0.1,0.0025,50,300,0.99,1,23.0
1.0,0.1,0.0025,50,300,0.99,2,9.0
1.0,0.1,0.0025,50,300,0.99,5,10.0
1.0,0.1,0.0025,50,300,1.0,1,31.0
1.0,0.1,0.0025,50,300,1.0,2,9.0
1.0,0.1,0.0025,50,300,1.0,5,10.0
1.0,0.1,0.0025,50,450,0.99,1,29.0
1.0,0.1,0.0025,50,450,0.99,2,10.0
1.0,0.1,0.0025,50,450,0.99,5,15.0
1.0,0.1,0.0025,50,450,1.0,1,21.0
1.0,0.1,0.0025,50,450,1.0,2,11.0
1.0,0.1,0.0025,50,450,1.0,5,15.0
1.0,0.1,0.0025,300,50,1.0,2,41.2
1.0,0.1,0.0025,300,300,0.99,5,10.0
1.0,0.1,0.0025,300,450,1.0,2,73.4
1.0,0.1,0.0025,450,50,0.99,2,45.4
1.0,0.1,0.0025,450,50,1.0,5,23.8
1.0,0.1,0.0025,450,300,1.0,5,57.0
1.0,0.1,0.0025,450,450,0.99,2,34.0
1.0,0.025,0.1,50,50,0.99,2,9.0
1.0,0.025,0.1,50,50,0.99,5,34.6
1.0,0.025,0.1,50,50,1.0,2,9.0
1.0,0.025,0.1,50,300,0.99,2,11.0
1.0,0.025,0.1,50,300,0.99,5,9.0
1.0,0.025,0.1,50,300,1.0,5,9.0
1.0,0.025,0.1,50,450,0.99,2,9.0
1.0,0.025,0.1,50,450,0.99,5,9.0
1.0,0.025,0.1,50,450,1.0,2,9.0
1.0,0.025,0.1,50,450,1.0,5,9.0
1.0,0.025,0.1,300,300,1.0,5,37.6
1.0,0.025,0.1,450,300,1.0,2,29.0
1.0,0.025,0.025,50,50,0.99,2,9.0
1.0,0.025,0.025,50,50,0.99,5,36.2
1.0,0.025,0.025,50,50,1.0,2,16.0
1.0,0.025,0.025,50,50,1.0,5,26.6
1.0,0.025,0.025,50,300,0.99,2,9.0
1.0,0.025,0.025,50,300,0.99,5,22.2
1.0,0.025,0.025,50,300,1.0,2,47.6
1.0,0.025,0.025,50,300,1.0,5,23.4
1.0,0.025,0.025,50,450,0.99,2,56.8
1.0,0.025,0.025,50,450,0.99,5,30.0
1.0,0.025,0.025,50,450,1.0,2,29.2
1.0,0.025,0.025,50,450,1.0,5,15.6
1.0,0.025,0.025,300,50,0.99,2,61.0
1.0,0.025,0.025,300,50,1.0,5,26.6
1.0,0.025,0.025,300,300,0.99,5,14.6
1.0,0.025,0.025,300,300,1.0,2,20.4
1.0,0.025,0.025,300,300,1.0,5,45.8
1.0,0.025,0.025,300,450,1.0,5,25.0
1.0,0.025,0.025,450,450,0.99,2,109.0
1.0,0.025,0.0025,50,50,0.99,2,132.2
1.0,0.025,0.0025,50,50,0.99,5,9.0
1.0,0.025,0.0025,50,50,1.0,1,61.6
1.0,0.025,0.0025,50,50,1.0,2,12.6
1.0,0.025,0.0025,50,50,1.0,5,14.0
1.0,0.025,0.0025,50,300,0.99,1,23.0
1.0,0.025,0.0025,50,300,0.99,2,9.0
1.0,0.025,0.0025,50,300,0.99,5,10.0
1.0,0.025,0.0025,50,300,1.0,1,31.0
1.0,0.025,0.0025,50,300,1.0,2,9.0
1.0,0.025,0.0025,50,300,1.0,5,10.0
1.0,0.025,0.0025,50,450,0.99,1,29.0
1.0,0.025,0.0025,50,450,0.99,2,10.0
1.0,0.025,0.0025,50,450,0.99,5,15.0
1.0,0.025,0.0025,50,450,1.0,1,21.0
1.0,0.025,0.0025,50,450,1.0,2,11.0
1.0,0.025,0.0025,50,450,1.0,5,15.0
1.0,0.025,0.0025,300,50,1.0,2,41.2
1.0,0.025,0.0025,300,300,0.99,5,10.0
1.0,0.025,0.0025,300,450,1.0,2,73.4
1.0,0.025,0.0025,450,50,0.99,2,45.4
1.0,0.025,0.0025,450,50,1.0,5,23.8
1.0,0.025,0.0025,450,300,1.0,5,57.0
1.0,0.025,0.0025,450,450,0.99,2,34.0
1.0,0.0025,0.1,50,50,0.99,2,9.0
1.0,0.0025,0.1,50,50,0.99,5,34.6
1.0,0.0025,0.1,50,50,1.0,2,9.0
1.0,0.0025,0.1,50,300,0.99,2,11.0
